,Wellbore name,NPDCode,Year,Month,On Stream,Oil,Gas,Water,GI,WI
238,15/9-F-14,5351,2013,Dec,630.08333,15495.97,2330523.99,97307.32,0.0,0.0
239,15/9-F-14,5351,2014,Jan,673.25,16686.58,2426753.21,106725.74,0.0,0.0
240,15/9-F-14,5351,2014,Feb,598.60834,14766.13,2161271.57,96430.28,0.0,0.0
241,15/9-F-14,5351,2014,Mar,677.16666,14954.84,2196383.02,101501.18,0.0,0.0
242,15/9-F-14,5351,2014,Apr,701.45833,16572.24,2398888.09,104862.29,0.0,0.0
243,15/9-F-14,5351,2014,May,701.5,13637.02,1943519.37,98851.21,0.0,0.0
244,15/9-F-14,5351,2014,Jun,710.0,13257.99,1951326.48,103420.97,0.0,0.0
245,15/9-F-14,5351,2014,Jul,743.08334,13495.98,2012912.64,99765.12,0.0,0.0
246,15/9-F-14,5351,2014,Aug,599.78333,8443.73,1333766.64,82815.84,0.0,0.0
247,15/9-F-14,5351,2014,Sep,689.66666,9622.21,1516704.37,97941.37,0.0,0.0
248,15/9-F-14,5351,2014,Oct,745.0,10076.22,1558794.24,104963.4,0.0,0.0
249,15/9-F-14,5351,2014,Nov,708.5,10386.41,1643092.74,103384.87,0.0,0.0
250,15/9-F-14,5351,2014,Dec,740.83334,9665.11,1601950.3,100254.94,0.0,0.0
251,15/9-F-14,5351,2015,Jan,718.13333,9120.98,1357132.6,95024.85,0.0,0.0
252,15/9-F-14,5351,2015,Feb,655.05833,7178.8,1092571.04,91844.46,0.0,0.0
253,15/9-F-14,5351,2015,Mar,744.0,8069.04,1195524.25,107454.33,0.0,0.0
254,15/9-F-14,5351,2015,Apr,720.0,7687.2,1121236.5,101303.06,0.0,0.0
255,15/9-F-14,5351,2015,May,744.0,7147.79,1042506.82,102927.47,0.0,0.0
256,15/9-F-14,5351,2015,Jun,718.81667,6069.93,889055.86,100367.07,0.0,0.0
257,15/9-F-14,5351,2015,Jul,741.04194,6720.74,999142.24,96224.54,0.0,0.0
258,15/9-F-14,5351,2015,Aug,629.39181,4876.31,737504.53,79596.64,0.0,0.0
259,15/9-F-14,5351,2015,Sep,719.07486,5300.41,799234.86,84511.31,0.0,0.0
260,15/9-F-14,5351,2015,Oct,741.91667,5634.86,863230.28,97864.97,0.0,0.0
261,15/9-F-14,5351,2015,Nov,719.50001,5431.56,835108.42,96061.08,0.0,0.0
